maker,year_range,supplier_group,product,trade_year_cnt,total_volume
Aston Martin,2016-2020,ZF,automatic_transmission_(at),3,3336
Aston Martin,2021-2025,Aston Martin Engine Plant,catalytic_converter,1,659
Aston Martin,2021-2025,Dana Graziano S.R.L. (Formerly Oerlikon Graziano S.p.A.),manual_transmission,1,528
Aston Martin,2021-2025,Freudenberg Sealing Technologies,camshaft,1,831
Aston Martin,2021-2025,thyssenkrupp,shock_absorber,1,192
Aston Martin,2021-2025,Vibracoustic,shock_absorber,1,913
Aston Martin,2021-2025,ZF,automatic_transmission_(at),4,5962
Audi,2005-2010,Aisin,automatic_transmission_(at),2,1015
Audi,2005-2010,BorgWarner,clutch,1,240
Audi,2005-2010,Bosch,fuel_injection,2,533
Audi,2005-2010,Bosch,fuel_pump,2,1125
Audi,2005-2010,Bosch,power_steering_pump,1,356
Audi,2005-2010,Bosch,starter_motor,2,1243
Audi,2005-2010,Continental,fuel_pump,1,125
Audi,2005-2010,Federal-Mogul,disc_brake_(pad),1,778
Audi,2005-2010,Federal-Mogul,piston,1,709
Audi,2005-2010,Forvia,exhaust_manifold,1,872
Audi,2005-2010,Garrett Motion,disc_brake_(pad),2,1668
Audi,2005-2010,Gates Corporation,oil_pump,1,467
Audi,2005-2010,Georg Fischer AG,crankshaft,1,275
Audi,2005-2010,ITT,disc_brake_(pad),3,1635
Audi,2005-2010,Magna,manual_transmission,1,2932
Audi,2005-2010,MAHLE,piston,1,234
Audi,2005-2010,Mubea,stablizer,1,837
Audi,2005-2010,Neumayer Tekfor GmbH,transmission_shaft,1,113
Audi,2005-2010,Pierburg,water_pump,1,941
Audi,2005-2010,"SinterCast, Inc.",cylinder_block,1,112
Audi,2005-2010,thyssenkrupp,camshaft,1,1215
Audi,2005-2010,TMD Friction Holdings GmbH,disc_brake_(pad),1,552
Audi,2005-2010,Trelleborg AB,stablizer,1,161
Audi,2005-2010,Tupy S.A.,cylinder_block,1,696
Audi,2005-2010,UFI Filters S.p.A.,fuel_injection,1,888
Audi,2005-2010,Valeo,starter_motor,1,923
Audi,2005-2010,ZF,clutch,1,127
Audi,2005-2010,ZF,power_steering_pump,1,726
Audi,2011-2015,Aisin,automatic_transmission_(at),1,707
Audi,2011-2015,B?hler Motor GmbH,water_pump,2,963
Audi,2011-2015,BorgWarner,clutch,2,515
Audi,2011-2015,Bosch,abs_esc,1,462
Audi,2011-2015,Bosch,fuel_injection,3,1717
Audi,2011-2015,Bosch,fuel_pump,1,2944
Audi,2011-2015,Bosch,power_steering_pump,1,3405
Audi,2011-2015,Bosch,starter_motor,1,4243
Audi,2011-2015,Bosch,steering_gear,1,2782
Audi,2011-2015,Continental,catalytic_converter,1,825
Audi,2011-2015,Continental,fuel_injection,3,1521
Audi,2011-2015,Continental,fuel_pump,1,295
Audi,2011-2015,Dana Incorporated (Formerly Dana Holding Corporation),automatic_transmission_(at),1,645
Audi,2011-2015,Denso,starter_motor,3,2168
Audi,2011-2015,DURA Automotive Systems LLC,crossmember,1,872
Audi,2011-2015,Ebersp?cher Gruppe GmbH & Co. KG,catalytic_converter,1,129
Audi,2011-2015,Ebersp?cher Gruppe GmbH & Co. KG,exhaust_manifold,1,861
Audi,2011-2015,Federal-Mogul,disc_brake_(pad),1,190
Audi,2011-2015,Federal-Mogul,piston,3,1676
Audi,2011-2015,Forvia,exhaust_manifold,2,1122
Audi,2011-2015,Freudenberg Sealing Technologies,camshaft,1,1689
Audi,2011-2015,Freudenberg Sealing Technologies,crankshaft,1,533
Audi,2011-2015,FTE,clutch,2,1611
Audi,2011-2015,Garrett Motion,disc_brake_(pad),2,1976
Audi,2011-2015,Gates Corporation,oil_pump,2,2408
Audi,2011-2015,Gedia Gebrueder Dingerkus GmbH,crossmember,1,806
Audi,2011-2015,Gestamp,crossmember,1,966
Audi,2011-2015,Hirschvogel,fuel_injection,1,980
Audi,2011-2015,Hirschvogel,transmission_shaft,3,2594
Audi,2011-2015,ITT,disc_brake_(pad),1,988
Audi,2011-2015,KACO GmbH + Co. KG,crankshaft,2,1448
Audi,2011-2015,KACO GmbH + Co. KG,water_pump,1,408
Audi,2011-2015,Kirchhoff,crossmember,1,287
Audi,2011-2015,KS Large Bore Pistons Group (Formerly KS Kolbenschmidt GmbH),cylinder_block,1,995
Audi,2011-2015,KYB,power_steering_pump,1,257
Audi,2011-2015,KYB,shock_absorber,1,443
Audi,2011-2015,Linde + Wiemann SE & Co. KG,chassis_frame,2,655
Audi,2011-2015,Linde + Wiemann SE & Co. KG,crossmember,1,193
Audi,2011-2015,Magna,oil_pump,2,765
Audi,2011-2015,MAHLE,piston,5,4841
Audi,2011-2015,MAHLE,water_pump,2,884
Audi,2011-2015,Marelli,automated_manual_transmission,1,387
Audi,2011-2015,Marelli,fuel_injection,2,5948
Audi,2011-2015,Neumayer Tekfor GmbH,camshaft,3,2557
Audi,2011-2015,Nidec,oil_pump,1,870
Audi,2011-2015,Nidec,water_pump,4,3220
Audi,2011-2015,Pierburg,oil_pump,2,852
Audi,2011-2015,Pierburg,water_pump,3,11464
Audi,2011-2015,PMG,shock_absorber,1,509
Audi,2011-2015,Rheinmetall,cylinder_block,2,1575
Audi,2011-2015,Rheinmetall,piston,3,2563
Audi,2011-2015,Rheinmetall,water_pump,4,2452
Audi,2011-2015,Schaeffler,clutch,1,1622
Audi,2011-2015,SHW,oil_pump,2,811
Audi,2011-2015,Sogefi,stablizer,2,2211
Audi,2011-2015,thyssenKrupp,camshaft,4,3181
Audi,2011-2015,thyssenKrupp,crankshaft,4,3160
Audi,2011-2015,TI,fuel_pump,1,984
Audi,2011-2015,Valeo,starter_motor,1,1122
Audi,2011-2015,Volkswagen,catalytic_converter,1,987
Audi,2011-2015,Weber GmbH & Co. KG,chassis_frame,1,962
Audi,2011-2015,ZF,automatic_transmission_(at),4,7029
Audi,2011-2015,ZF,camshaft,2,1107
Audi,2011-2015,ZF,clutch,1,2152
Audi,2011-2015,ZF,oil_pump,2,766
Audi,2011-2015,ZF,power_steering_pump,1,672
Audi,2011-2015,ZF,shock_absorber,1,927
Audi,2011-2015,ZF,stablizer,1,914
Audi,2011-2015,ZF,torque_converter,2,4449
Audi,2016-2020,B?hler Motor GmbH,water_pump,1,1129
Audi,2016-2020,BorgWarner,fuel_injection,1,381
Audi,2016-2020,Bosch,abs_esc,1,640
Audi,2016-2020,Bosch,starter_motor,3,4542
Audi,2016-2020,Bosch,steering_gear,1,982
Audi,2016-2020,COHLINE GmbH,automatic_transmission_(at),1,352
Audi,2016-2020,Continental,abs_esc,1,805
Audi,2016-2020,Continental,catalytic_converter,2,2243
Audi,2016-2020,Continental,fuel_injection,1,831
Audi,2016-2020,Denso,starter_motor,3,2231
Audi,2016-2020,DURA Automotive Systems LLC,crossmember,1,473
Audi,2016-2020,Ebersp?cher Gruppe GmbH & Co. KG,catalytic_converter,5,5732
Audi,2016-2020,Ebersp?cher Gruppe GmbH & Co. KG,exhaust_manifold,1,907
Audi,2016-2020,Federal-Mogul,disc_brake_(pad),2,3121
Audi,2016-2020,Federal-Mogul,piston,2,2908
Audi,2016-2020,Forvia,exhaust_manifold,1,909
Audi,2016-2020,Freudenberg Sealing Technologies,camshaft,1,698
Audi,2016-2020,Freudenberg Sealing Technologies,crankshaft,1,180
Audi,2016-2020,Freudenberg Sealing Technologies,water_pump,1,151
Audi,2016-2020,Friedrich Boysen GmbH & Co. KG,catalytic_converter,4,11927
Audi,2016-2020,FTE,clutch,1,979
Audi,2016-2020,FTE,oil_pump,1,973
Audi,2016-2020,Georg Fischer AG,chassis_frame,2,2154
Audi,2016-2020,Gestamp,crossmember,1,590
Audi,2016-2020,Hirschvogel,fuel_injection,1,575
Audi,2016-2020,Hirschvogel,transmission_shaft,2,1953
Audi,2016-2020,Industrie Saleri Italo S.p.A.,water_pump,2,2575
Audi,2016-2020,Kendrion Automotive (Sibiu) S.R.L.,fuel_pump,1,1431
Audi,2016-2020,Kirchhoff,chassis_frame,2,693
Audi,2016-2020,Kirchhoff,crossmember,1,1121
Audi,2016-2020,KSM Castings Group GmbH,shock_absorber,1,934
Audi,2016-2020,Linamar,chassis_frame,1,1737
Audi,2016-2020,Linamar,crankshaft,1,393
Audi,2016-2020,Linde + Wiemann SE & Co. KG,crossmember,2,1029
Audi,2016-2020,MAHLE,camshaft,3,2708
Audi,2016-2020,MAHLE,piston,3,2681
Audi,2016-2020,Marelli,fuel_injection,1,981
Audi,2016-2020,Nemak,chassis_frame,1,805
Audi,2016-2020,Nemak,cylinder_block,1,610
Audi,2016-2020,Nidec,water_pump,3,3932
Audi,2016-2020,Nisshinbo,disc_brake_(pad),1,167
Audi,2016-2020,Oiles Corporation,shock_absorber,1,375
Audi,2016-2020,Ovalo GmbH,shock_absorber,1,465
Audi,2016-2020,Rheinmetall,cylinder_block,2,1182
Audi,2016-2020,Rheinmetall,piston,2,1047
Audi,2016-2020,Rheinmetall,water_pump,5,2497
Audi,2016-2020,Schaeffler,clutch,1,119
Audi,2016-2020,Schaeffler,fuel_pump,1,784
Audi,2016-2020,Schaeffler,stablizer,1,434
Audi,2016-2020,Snop,chassis_frame,1,193
Audi,2016-2020,Snop,crossmember,1,674
Audi,2016-2020,Tenneco,shock_absorber,1,213
Audi,2016-2020,TRW,disc_brake_(pad),1,272
Audi,2016-2020,Valeo,starter_motor,1,548
Audi,2016-2020,Vibracoustic,shock_absorber,2,1130
Audi,2016-2020,Voith GmbH & Co. KGaA,chassis_frame,1,198
Audi,2016-2020,Volkswagen,catalytic_converter,3,2169
Audi,2016-2020,ZF,automatic_transmission_(at),4,3593
Audi,2016-2020,ZF,chassis_frame,1,892
Audi,2016-2020,ZF,disc_brake_(pad),2,5429
Audi,2016-2020,ZF,shock_absorber,2,805
Audi,2016-2020,ZF,torque_converter,2,824
Audi,2021-2025,Benteler,crossmember,1,693
Audi,2021-2025,Benteler,fuel_injection,1,371
Audi,2021-2025,Bosch,catalytic_converter,1,2118
Audi,2021-2025,Bosch,fuel_injection,1,227
Audi,2021-2025,Bosch,fuel_pump,3,5473
Audi,2021-2025,Bosch,starter_motor,2,2262
Audi,2021-2025,Bosch,steering_gear,2,776
Audi,2021-2025,Continental,abs_esc,2,987
Audi,2021-2025,Continental,fuel_injection,1,131
Audi,2021-2025,Continental,fuel_pump,1,163
Audi,2021-2025,Denso,catalytic_converter,1,107
Audi,2021-2025,Denso,starter_motor,8,4846
Audi,2021-2025,Ebersp?cher Gruppe GmbH & Co. KG,catalytic_converter,1,3276
Audi,2021-2025,Federal-Mogul,disc_brake_(pad),2,3778
Audi,2021-2025,Foma S.p.A.,automatic_transmission_(at),1,1783
Audi,2021-2025,Forvia,catalytic_converter,1,528
Audi,2021-2025,Forvia,exhaust_manifold,1,327
Audi,2021-2025,Freudenberg Sealing Technologies,camshaft,1,349
Audi,2021-2025,Freudenberg Sealing Technologies,torque_converter,1,345
Audi,2021-2025,Georg Fischer AG,chassis_frame,2,1116
Audi,2021-2025,Gestamp,chassis_frame,1,933
Audi,2021-2025,Gestamp,crossmember,2,515
Audi,2021-2025,Hirschvogel,transmission_shaft,1,379
Audi,2021-2025,Kirchhoff,crossmember,2,1645
Audi,2021-2025,Meleghy Automotive GmbH & Co. KG,chassis_frame,1,705
Audi,2021-2025,Nemak,cylinder_block,1,3369
Audi,2021-2025,Otto Vollmann GmbH & Co. KG,crossmember,1,535
Audi,2021-2025,P.C.S. Machine Group Holding PCL,chassis_frame,1,581
Audi,2021-2025,Rausch & Pausch Automotive GmbH & Co. KG (RAPA Automotive),shock_absorber,3,1763
Audi,2021-2025,Rheinmetall,water_pump,1,380
Audi,2021-2025,Rollax GmbH & Co. KG,chassis_frame,1,293
Audi,2021-2025,Rongtai Industrial Development Le?n S. de R.L. de C.V.,steering_gear,2,1408
Audi,2021-2025,Schaeffler,camshaft,1,790
Audi,2021-2025,SEG,starter_motor,1,818
Audi,2021-2025,SNOP,crossmember,1,671
Audi,2021-2025,Standard-Metallwerke GmbH,automatic_transmission_(at),3,1542
Audi,2021-2025,Tenneco,piston,1,308
Audi,2021-2025,Tenneco,shock_absorber,2,3140
Audi,2021-2025,thyssenKrupp,shock_absorber,1,601
Audi,2021-2025,Valeo,starter_motor,4,2480
Audi,2021-2025,Vibracoustic,shock_absorber,3,2010
Audi,2021-2025,Vitesco,fuel_pump,3,2383
Audi,2021-2025,Woco Industrietechnik GmbH,manual_transmission,1,823
Audi,2021-2025,ZF,abs_esc,4,2196
Audi,2021-2025,ZF,automatic_transmission_(at),1,886
Audi,2021-2025,ZF,chassis_frame,1,726
Audi,2021-2025,ZF,clutch,1,983
Audi,2021-2025,ZF,shock_absorber,12,16000
Audi,2021-2025,ZF,steering_gear,1,299
Aurus,2021-2025,KATE LLC,automatic_transmission_(at),2,622
AvtoVAZ,2011-2015,AvtoVAZ,automated_manual_transmission,1,2867
AvtoVAZ,2011-2015,Federal-Mogul,piston,1,609
AvtoVAZ,2011-2015,JATCO,automatic_transmission_(at),3,3680
AvtoVAZ,2011-2015,Motor Super,camshaft,1,1476
AvtoVAZ,2011-2015,Motor Super,crankshaft,1,955
AvtoVAZ,2011-2015,Motor Super,disc_brake_(pad),1,1308
AvtoVAZ,2011-2015,Motor Super,fuel_pump,1,960
AvtoVAZ,2011-2015,Motor Super,manual_transmission,1,2212
AvtoVAZ,2011-2015,Motor Super,oil_pump,1,1503
AvtoVAZ,2011-2015,Motor Super,piston,1,2396
AvtoVAZ,2011-2015,Motor Super,starter_motor,1,1889
AvtoVAZ,2011-2015,Motor Super,steering_gear,1,976
AvtoVAZ,2011-2015,Motor Super,water_pump,1,2472
AvtoVAZ,2011-2015,TI,fuel_pump,1,522
AvtoVAZ,2011-2015,ZF,automated_manual_transmission,1,2303
AvtoVAZ,2016-2020,JATCO,automatic_transmission_(at),1,1777
AvtoVAZ,2016-2020,Tenneco,shock_absorber,1,280
AvtoVAZ,2021-2025,NPP ITELMA LLC - Kostroma Plant,abs_esc,2,1423
BAIC (Guangzhou),2016-2020,Beijing West Industries,abs_esc,2,1506
BAIC (Guangzhou),2016-2020,Bosch,abs_esc,1,926
BAIC (Guangzhou),2016-2020,Chengdu Xiling Power Science & Technology Incorporated Company,camshaft,1,998
BAIC (Guangzhou),2016-2020,Chengdu Xiling Power Science & Technology Incorporated Company,crankshaft,1,718
BAIC (Guangzhou),2016-2020,FAW Group,shock_absorber,1,455
BAIC (Guangzhou),2016-2020,Johnson Matthey,catalytic_converter,3,1265
BAIC (Guangzhou),2016-2020,Mitsubishi,cylinder_block,1,236
BAIC (Guangzhou),2016-2020,"Precision Sintered Products (Wuxi) Co., Ltd.",shock_absorber,1,130
BAIC (Guangzhou),2016-2020,"Shanghai Carthane Co., Ltd.",shock_absorber,1,174
BAIC Foton,2021-2025,Youfin,abs_esc,1,696
BAIC Motor,2011-2015,Aisin,automated_manual_transmission,1,207
BAIC Motor,2011-2015,Aisin,automatic_transmission_(at),3,1702
BAIC Motor,2011-2015,BAIC,manual_transmission,1,1129
BAIC Motor,2011-2015,BASF Catalysts,catalytic_converter,1,1865
BAIC Motor,2011-2015,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd.",abs_esc,2,1276
BAIC Motor,2011-2015,Beijing West Industries,abs_esc,1,891
BAIC Motor,2011-2015,Bosch,abs_esc,1,3545
BAIC Motor,2011-2015,Bosch,transmission_shaft,1,987
BAIC Motor,2011-2015,"Tianrun Industry Technology Co., Ltd.(Formerly Tianrun Crankshaft Co., Ltd.)",crankshaft,1,911
BAIC Motor,2011-2015,Umicore,catalytic_converter,1,208
BAIC Motor,2011-2015,"Wuhu Zhongli Parts Co., Ltd.",chassis_frame,1,1793
BAIC Motor,2011-2015,"Zhejiang Asia-Pacific Mechanical & Electronic Co., Ltd.",chassis_frame,1,4133
BAIC Motor,2011-2015,"Zhejiang Double Gold Stable Rod Manufacturing Co., Ltd.",stablizer,1,397
BAIC Motor,2016-2020,Airui,catalytic_converter,1,524
BAIC Motor,2016-2020,Aisin,automatic_transmission_(at),1,663
BAIC Motor,2016-2020,BASF Catalysts,catalytic_converter,1,992
BAIC Motor,2016-2020,Beijing West Industries,abs_esc,1,1515
BAIC Motor,2016-2020,"Bethel Automotive Safety Systems Co., Ltd.",abs_esc,2,2486
BAIC Motor,2016-2020,Bosch,abs_esc,5,15099
BAIC Motor,2016-2020,Continental,abs_esc,1,855
BAIC Motor,2016-2020,Dongan,catalytic_converter,1,770
BAIC Motor,2016-2020,Exedy,torque_converter,1,172
BAIC Motor,2016-2020,Johnson Matthey,catalytic_converter,4,4055
BAIC Motor,2016-2020,Mitsubishi,cylinder_block,1,745
BAIC Motor,2016-2020,"Precision Sintered Products (Wuxi) Co., Ltd.",shock_absorber,1,603
BAIC Motor,2016-2020,Shengrui,automatic_transmission_(at),1,253
BAIC Motor,2016-2020,"Shenyang Sanwei Machinery Co., Ltd.",crankshaft,1,688
BAIC Motor,2016-2020,"Wuxi Weifu Environmental Catalysts Co., Ltd.",catalytic_converter,1,621
BAIC Motor,2016-2020,Youfin,abs_esc,2,762
BAIC Motor,2016-2020,ZF,abs_esc,1,570
BAIC Motor,2016-2020,"Zhejiang Asia-Pacific Mechanical & Electronic Co., Ltd.",abs_esc,1,1563
BAIC Motor,2016-2020,"Zhejiang Double Gold Stable Rod Manufacturing Co., Ltd.",stablizer,1,177
BAIC Motor,2021-2025,Bosch,abs_esc,1,1369
BAIC Motor,2021-2025,Continental,abs_esc,1,448
BAIC Motor,2021-2025,Johnson Matthey,catalytic_converter,1,525
BAIC Motor,2021-2025,"United Automotive Electronic Systems Co., Ltd.",fuel_injection,1,140
BAIC Motor,2021-2025,"United Automotive Electronic Systems Co., Ltd.",fuel_pump,1,149
BAIC ORV,2016-2020,BASF Catalysts,catalytic_converter,2,1282
BAIC ORV,2016-2020,Bosch,abs_esc,2,1359
BAIC ORV,2021-2025,BAIC,chassis_frame,2,2201
BAIC ORV,2021-2025,BASF Catalysts,catalytic_converter,1,991
BAIC ORV,2021-2025,Bosch,abs_esc,3,1125
BAIC ORV,2021-2025,Ebersp?cher Gruppe GmbH & Co. KG,catalytic_converter,1,807
BAIC ORV,2021-2025,"Wuhu Bethel Electronic Control System Co., Ltd.",abs_esc,2,3738
BAIC ORV,2021-2025,"Wuxi Weifu Environmental Catalysts Co., Ltd.",catalytic_converter,1,903
BAIC ORV,2021-2025,ZF,abs_esc,2,641
BAIC ORV,2021-2025,ZF,automatic_transmission_(at),1,450
BAIC Ruili,2016-2020,Bosch,abs_esc,1,111
BAIC Yinxiang,2011-2015,Beijing West Industries,abs_esc,1,420
BAIC Yinxiang,2011-2015,China South,shock_absorber,1,1354
BAIC Yinxiang,2011-2015,Chongqing Qin'an Mechanical & Electrical Plc.,cylinder_block,1,274
BAIC Yinxiang,2011-2015,"Sichuan Science City Jiangtai Electronics Co., Ltd.",catalytic_converter,1,606
BAIC Yinxiang,2011-2015,"Wuxi Weifu Environmental Catalysts Co., Ltd.",catalytic_converter,1,693
BAIC Yinxiang,2016-2020,Beijing West Industries,abs_esc,2,3880
BAIC Yinxiang,2016-2020,"Bethel Automotive Safety Systems Co., Ltd.",abs_esc,1,897
BAIC Yinxiang,2016-2020,"CDGM Tanaka Environmental Catalyst Co., Ltd.",catalytic_converter,2,1446
BAIC Yinxiang,2016-2020,"Chenzhi (Chongqing) Brake System Co.,Ltd. (Formerly CSG TRW Chassis Systems Co. Ltd.)",disc_brake_(pad),1,854
BAIC Yinxiang,2016-2020,"Chongqing Hegui Environmental Science and Technology Co., Ltd.",catalytic_converter,3,2677
BAIC Yinxiang,2016-2020,"Chongqing Hiter Automotive Exhaust Systems Co., Ltd.",catalytic_converter,2,1059
BAIC Yinxiang,2016-2020,"CNC Driveline Technology Co., Ltd. (Formerly Zhuhai China And Canton Clutch Co., Ltd.)",clutch,1,1564
BAIC Yinxiang,2016-2020,Continental,abs_esc,2,1995
BAIC Yinxiang,2016-2020,"Kunming Sino-Platinum Metals Catalyst Co., Ltd.",catalytic_converter,1,210
BAIC Yinxiang,2016-2020,"Liuzhou Wuling Liuji Power Co., Ltd.",crankshaft,1,633
BAIC Yinxiang,2016-2020,"Liuzhou Wuling Liuji Power Co., Ltd.",cylinder_block,1,893
BAIC Yinxiang,2016-2020,Nanyang,shock_absorber,1,840
BAIC Yinxiang,2016-2020,"Precision Sintered Products (Wuxi) Co., Ltd.",shock_absorber,1,1545
BAIC Yinxiang,2016-2020,"Shandong Gold Phoenix Co., Ltd.",disc_brake_(pad),1,1278
BAIC Yinxiang,2016-2020,"Shanghai Carthane Co., Ltd.",shock_absorber,1,894
BAIC Yinxiang,2016-2020,"Wuxi Weifu Environmental Catalysts Co., Ltd.",catalytic_converter,2,2889
BAIC Zhenjiang,2016-2020,Bosch,abs_esc,2,1328
